,gain
mean_open_norm,5
mean_high_norm,10
mean_low_norm,9
mean_close_norm,6
mean_volume_norm,4
mean_RSI_norm,21
mean_MACD_norm,7
mean_MACD_signal_norm,4
mean_macd_divergence_norm,7
mean_kumo_thickness_norm,4
mean_price_to_cloud_distance_norm,6
mean_price_in_kumo_distance_norm,7
mean_tenkan_kijun_diff_norm,6
mean_price_vs_kijun_norm,10
mean_price_vs_tenkan_norm,6
mean_chikou_vs_price_norm,10
mean_ATR_norm,6
mean_ADX_norm,4
std_open_norm,5
std_high_norm,5
std_low_norm,8
std_close_norm,5
std_volume_norm,7
std_RSI_norm,8
std_MACD_norm,6
std_MACD_signal_norm,6
std_macd_divergence_norm,5
std_kumo_thickness_norm,5
std_price_to_cloud_distance_norm,5
std_price_in_kumo_distance_norm,6
std_tenkan_kijun_diff_norm,6
std_price_vs_kijun_norm,5
std_price_vs_tenkan_norm,5
std_chikou_vs_price_norm,5
std_ATR_norm,7
std_ADX_norm,6
min_open_norm,8
min_high_norm,10
min_low_norm,7
min_close_norm,10
min_volume_norm,6
min_RSI_norm,16
min_MACD_norm,10
min_MACD_signal_norm,5
min_macd_divergence_norm,8
min_kumo_thickness_norm,7
min_price_to_cloud_distance_norm,4
min_price_in_kumo_distance_norm,5
min_tenkan_kijun_diff_norm,11
min_price_vs_kijun_norm,9
min_price_vs_tenkan_norm,6
min_chikou_vs_price_norm,9
min_ATR_norm,6
min_ADX_norm,4
max_open_norm,7
max_high_norm,7
max_low_norm,5
max_close_norm,5
max_volume_norm,5
max_RSI_norm,9
max_MACD_norm,8
max_MACD_signal_norm,5
max_macd_divergence_norm,7
max_kumo_thickness_norm,4
max_price_to_cloud_distance_norm,3
max_price_in_kumo_distance_norm,5
max_tenkan_kijun_diff_norm,8
max_price_vs_kijun_norm,7
max_price_vs_tenkan_norm,6
max_chikou_vs_price_norm,8
max_ATR_norm,8
max_ADX_norm,7
slope_open_norm,6
slope_high_norm,8
slope_low_norm,12
slope_close_norm,10
slope_volume_norm,6
slope_RSI_norm,7
slope_MACD_norm,7
slope_MACD_signal_norm,6
slope_macd_divergence_norm,7
slope_kumo_thickness_norm,5
slope_price_to_cloud_distance_norm,6
slope_price_in_kumo_distance_norm,5
slope_tenkan_kijun_diff_norm,5
slope_price_vs_kijun_norm,6
slope_price_vs_tenkan_norm,7
slope_chikou_vs_price_norm,5
slope_ATR_norm,7
slope_ADX_norm,6
